id,estimated_value,asking_price,deadline,bids_avg,bids_count,value_diff,roi
18536220,20393800,15000000,26/12/25 at 08:23,15.000.000 baht,0,5393800,35.96
18527772,19994600,15065650,26/12/25 at 06:48,-,0,4928950,32.72
18146684,3203900,2420700,26/12/25 at 07:14,-,0,783200,32.35
18521068,66105550,50000000,27/12/25 at 09:07,-,0,16105550,32.21
18521141,25586150,19376600,26/12/25 at 06:44,-,0,6209550,32.05
18654658,49386600,37500000,27/12/25 at 03:51,37.500.000 baht,0,11886600,31.7
18457552,19529300,15000000,26/12/25 at 04:06,15.000.000 baht,0,4529300,30.2
18184810,65025000,50000000,26/12/25 at 09:25,50.000.000 baht,0,15025000,30.05
18345351,25965100,20000000,27/12/25 at 23:16,-,0,5965100,29.83
18138479,6132000,4742500,27/12/25 at 06:40,4.742.500 baht,0,1389500,29.3
18598139,15916400,12500000,27/12/25 at 08:52,-,0,3416400,27.33
18370266,55484000,43900400,Today at 20:36,-,0,11583600,26.39
18397032,15749200,12500000,Today at 18:24,-,0,3249200,25.99
18513355,50336000,40000000,26/12/25 at 08:25,-,0,10336000,25.84
18377510,50287200,40000000,Today at 19:05,-,0,10287200,25.72
18370279,18202700,14515150,27/12/25 at 06:55,14.515.150 baht,0,3687550,25.4
18144739,3203900,2556400,26/12/25 at 07:36,-,0,647500,25.33
18319046,23763850,19000000,27/12/25 at 05:49,-,0,4763850,25.07
18023610,49595750,40000000,26/12/25 at 12:30,41.293.400 baht,0,9595750,23.99
18393063,6630900,5349400,26/12/25 at 07:06,-,0,1281500,23.96
18002733,4098550,3307400,26/12/25 at 09:19,3.307.400 baht,0,791150,23.92
18287885,43206050,35000000,27/12/25 at 10:40,-,0,8206050,23.45
18396312,55502150,45000000,27/12/25 at 23:15,-,0,10502150,23.34
18007092,26475800,21484100,29/12/25 at 09:18,21.484.100 baht,0,4991700,23.23
18088330,8732500,7092450,27/12/25 at 09:20,7.092.450 baht,0,1640050,23.12
18641378,65096100,53500000,28/12/25 at 09:09,-,0,11596100,21.67
18572854,24306550,20000000,28/12/25 at 09:31,-,0,4306550,21.53
18496364,360000900,300000000,28/12/25 at 10:19,-,0,60000900,20.0
18665081,80269250,67500000,27/12/25 at 04:00,67.500.000 baht,0,12769250,18.92
18345332,23709950,20000000,Today at 17:22,-,0,3709950,18.55
18610542,26588750,22500000,26/12/25 at 08:14,-,0,4088750,18.17
18398318,5879450,5000000,26/12/25 at 08:10,5.000.000 baht,0,879450,17.59
18339584,48994550,41683900,27/12/25 at 06:40,-,0,7310650,17.54
18266397,88097500,75000000,27/12/25 at 21:17,-,0,13097500,17.46
18308516,46382500,39500000,26/12/25 at 18:05,-,0,6882500,17.42
18453575,13378250,11418900,28/12/25 at 07:40,-,0,1959350,17.16
18058074,5574550,4766550,27/12/25 at 06:41,4.766.550 baht,0,808000,16.95
17991547,25652100,21973650,28/12/25 at 06:34,-,0,3678450,16.74
18325765,16118150,13826450,26/12/25 at 07:14,13.826.450 baht,0,2291700,16.57
18664646,52035400,44649700,28/12/25 at 07:31,-,0,7385700,16.54
18379556,58011550,49999950,26/12/25 at 07:28,-,0,8011600,16.02
18312121,4897800,4223000,28/12/25 at 06:58,4.223.000 baht,0,674800,15.98
18439270,7325150,6320200,26/12/25 at 06:37,6.320.200 baht,0,1004950,15.9
18393280,17627250,15210600,26/12/25 at 06:43,-,0,2416650,15.89
18411065,8081450,6983900,28/12/25 at 07:42,-,0,1097550,15.72
18099611,4809050,4158700,28/12/25 at 06:35,-,0,650350,15.64
18449146,5762800,5000000,26/12/25 at 08:11,-,0,762800,15.26
18468989,12975300,11265450,28/12/25 at 06:34,-,0,1709850,15.18
18113482,11443250,9936200,27/12/25 at 06:55,-,0,1507050,15.17
18447689,7002800,6083400,26/12/25 at 07:16,6.083.400 baht,0,919400,15.11
18318491,5025400,4366150,26/12/25 at 07:12,-,0,659250,15.1
18518490,34475150,30000000,26/12/25 at 08:25,-,0,4475150,14.92
18454151,18341700,16000000,Today at 17:27,-,0,2341700,14.64
18418879,11462650,10010050,26/12/25 at 06:31,10.010.050 baht,0,1452600,14.51
18419352,6094900,5333700,28/12/25 at 07:22,-,0,761200,14.27
18408763,5910650,5173750,27/12/25 at 06:31,-,0,736900,14.24
18378505,6888700,6048500,26/12/25 at 07:00,6.048.500 baht,0,840200,13.89
18370491,19062300,16761100,27/12/25 at 07:25,16.761.100 baht,0,2301200,13.73
18641740,113722200,100000000,26/12/25 at 07:52,-,0,13722200,13.72
18503293,51056150,45000000,26/12/25 at 15:06,-,0,6056150,13.46
18183527,9227650,8139250,27/12/25 at 06:45,8.139.250 baht,0,1088400,13.37
18365556,79314100,70000000,27/12/25 at 15:29,-,0,9314100,13.31
18450697,71905750,63500000,28/12/25 at 09:08,-,0,8405750,13.24
18215371,19715950,17434100,28/12/25 at 07:24,-,0,2281850,13.09
18356330,8639450,7646550,27/12/25 at 06:31,7.646.550 baht,0,992900,12.98
18406310,19248750,17039350,27/12/25 at 07:05,-,0,2209400,12.97
18390663,7119000,6310000,27/12/25 at 06:41,6.310.000 baht,0,809000,12.82
18538625,7652750,6784700,28/12/25 at 06:36,-,0,868050,12.79
18585345,23328700,20683500,27/12/25 at 06:42,-,0,2645200,12.79
17982092,5652300,5019650,26/12/25 at 07:06,5.019.650 baht,0,632650,12.6
18517833,16298800,14500000,29/12/25 at 05:28,-,0,1798800,12.41
18370749,5036250,4481750,28/12/25 at 06:32,-,0,554500,12.37
18143050,3943900,3513800,26/12/25 at 06:37,3.513.800 baht,0,430100,12.24
